1,1,1.63504e-07,0.000432349
0.926994,0.954546,1.51567e-07,0.000412697
0.509848,0.676779,8.33621e-08,0.000292605
0.523944,0.676617,8.56668e-08,0.000292535
0.515668,0.691723,8.43137e-08,0.000299066
0.499584,0.681633,8.16839e-08,0.000294703
0.494841,0.678621,8.09084e-08,0.000293401
0.499337,0.676911,8.16434e-08,0.000292662
0.509513,0.67657,8.33073e-08,0.000292515
0.526635,0.66492,8.61069e-08,0.000287478
0.731857,0.85123,1.19661e-07,0.000368028
0.687291,0.824451,1.12375e-07,0.000356451
0.598546,0.768113,9.78646e-08,0.000332093
0.548339,0.722014,8.96556e-08,0.000312162
0.493691,0.665147,8.07203e-08,0.000287576
0.496842,0.665147,8.12355e-08,0.000287576
0.5004,0.665147,8.18173e-08,0.000287576
0.491436,0.665147,8.03517e-08,0.000287576
0.432325,0.646833,7.06868e-08,0.000279658
0.436998,0.646833,7.14508e-08,0.000279658
0.443408,0.646834,7.24989e-08,0.000279658
0.312094,0.523132,5.10286e-08,0.000226176
0.311118,0.522158,5.08689e-08,0.000225755
0.310469,0.521509,5.07629e-08,0.000225474
0.310463,0.521503,5.07618e-08,0.000225471
0.310854,0.521918,5.08259e-08,0.000225651
0.310463,0.521503,5.07619e-08,0.000225472
0.310463,0.521503,5.07619e-08,0.000225471
0.373294,0.583645,6.1035e-08,0.000252339
0.173735,0.345419,2.84063e-08,0.000149341
